"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6013","Locate heading text is visible ""Think different."" using the text selector","webkit","Fri Aug 23 17:53:42 CEST 2024","passed","Fri Aug 23 17:53:48 CEST 2024","Home","home.spec.ts","",""
"","12076","Upload a file named large_file.pdf","firefox","Fri Aug 23 17:52:51 CEST 2024","failed","Fri Aug 23 17:53:03 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","9903","Upload a file named book.png","chromium","Tue Aug 27 12:14:41 CEST 2024","passed","Tue Aug 27 12:14:51 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","5768","Click on ""Get started"" using the CSS selector","webkit","Fri Aug 23 17:53:40 CEST 2024","passed","Fri Aug 23 17:53:45 CEST 2024","Home","home.spec.ts","",""
"","0","Upload a file","firefox","Fri Aug 23 17:52:55 CEST 2024","skipped","Fri Aug 23 17:52:55 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","9664","Upload a file named large_file.pdf","webkit","Fri Aug 23 17:53:54 CEST 2024","failed","Fri Aug 23 17:54:04 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","10654","Access Orders","chromium","Tue Aug 27 12:13:54 CEST 2024","passed","Tue Aug 27 12:14:04 CEST 2024","My account","account.spec.ts","",""
"","12832","Access Downloads","firefox","Fri Aug 23 17:51:52 CEST 2024","passed","Fri Aug 23 17:52:05 CEST 2024","My account","account.spec.ts","",""
"","34","About page","chromium","Tue Aug 27 12:14:41 CEST 2024","skipped","Tue Aug 27 12:14:41 CEST 2024","","home.spec.ts","",""
"","9432","Upload a file named large_file.pdf","chromium","Tue Aug 27 12:14:48 CEST 2024","failed","Tue Aug 27 12:14:57 CEST 2024","Upload a file on Cart page","upload_file.spec.ts","",""
"","8332","Verify the text for all primary nav links","firefox","Fri Aug 23 17:52:42 CEST 2024","passed","Fri Aug 23 17:52:51 CEST 2024","Home","home.spec.ts","",""
"","6262","Verify search icon is visible using XPath","chromium","Tue Aug 27 12:14:34 CEST 2024","passed","Tue Aug 27 12:14:40 CEST 2024","Home","home.spec.ts","",""
"","8210","Click on ""Get started"" using the CSS selector","chromium","Tue Aug 27 12:14:23 CEST 2024","passed","Tue Aug 27 12:14:31 CEST 2024","Home","home.spec.ts","",""
"","3200","get started link","chromium","Tue Aug 27 12:14:14 CEST 2024","passed","Tue Aug 27 12:14:17 CEST 2024","","example.spec.ts","",""
"","6622","Locate heading text is visible ""Think different."" using the text selector","firefox","Fri Aug 23 17:52:30 CEST 2024","passed","Fri Aug 23 17:52:37 CEST 2024","Home","home.spec.ts","",""
"","10536","Locate heading text is visible ""Think different."" using the text selector","chromium","Tue Aug 27 12:14:31 CEST 2024","passed","Tue Aug 27 12:14:41 CEST 2024","Home","home.spec.ts","",""
"","7710","Verify login and register is visible","firefox","Fri Aug 23 17:51:57 CEST 2024","passed","Fri Aug 23 17:52:04 CEST 2024","Account Page","account.spec.ts","",""
"","12189","Upload a large file","webkit","Fri Aug 23 17:54:03 CEST 2024","passed","Fri Aug 23 17:54:15 CEST 2024","Upload a large file on Cart page","wait_command.spec.ts","",""
"","2407","has title","firefox","Fri Aug 23 17:52:11 CEST 2024","passed","Fri Aug 23 17:52:13 CEST 2024","","example.spec.ts","",""
